                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0024,                 1.3901,                 1.5682,                0.81671,                0.72938,                0.75212,                0.52077,                 1.8769,                 1.5873,                 2.4994,             0.00055201,             0.00055201,             0.00055201
                      2,                0.91405,                 1.0171,                 1.4992,                 0.8843,                0.79944,                0.85357,                0.58214,                 1.3981,                 1.2343,                  1.969,             0.00055938,             0.00055938,             0.00055938
